JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2415821.3334,2.92,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415821.3310,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.2966,3.40,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.2940,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.3076,3.52,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3050,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.3526,3.43,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3500,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.3636,3.25,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3610,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.3746,3.07,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3720,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.3876,3.00,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3850,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.4456,2.74,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.4430,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.4596,2.65,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.4570,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.3651,2.47,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.3660,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.3801,2.71,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.3810,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.4081,2.65,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4090,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.4251,2.59,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4260,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.4551,2.52,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4560,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.4701,2.74,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4710,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.4821,2.74,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4830,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.4981,3.06,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4990,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.5151,2.98,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.5160,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
